Source,Target,interaction_type,predicate,revision_id
Chetankale1978,PreferentialBot,edit,P26,388284659
PreferentialBot,Proud User,edit,P26,390203534
Proud User,Jura1,edit,P26,403750042
Jura1,Danrok,edit,P26,434007257
Danrok,DannyS712,edit,P26,956496241
DannyS712,DemonDays64,edit,P26,1087875074
DemonDays64,Premeditated,edit,P26,1204643896
Premeditated,Joao4669,edit,P26,1304052235
Joao4669,Elli,edit,P26,1315860733
Elli,Aaron106,edit,P26,1845294430
Aaron106,Jock64,edit,P26,2271044320
Jock64,PantheraLeo1359531,edit,P26,2342059393
MarrickLip,63.141.204.129,edit,P40,282085232
63.141.204.129,Arpyia,edit,P40,282085446
Arpyia,Chetankale1978,edit,P40,309975738
Chetankale1978,Entbert,edit,P40,433558964
Entbert,167.0.7.215,edit,P40,481722986
167.0.7.215,Mutante,edit,P40,481774713
Mutante,PLbot,edit,P40,1081966062
PLbot,Coqui002,edit,P40,1312252612
Coqui002,AdamSeattle,edit,P40,1439086838
AdamSeattle,ايمو کي ڀڄايو,edit,P40,2142020325
Dexbot,KrBot,edit,P31,79426690
KrBot,Dexbot,edit,P31,91001853
Dexbot,189.133.212.97,edit,P31,224141000
189.133.212.97,Rippitippi,edit,P31,224141309
Rippitippi,187.214.65.233,edit,P31,225546639
187.214.65.233,Nikki,edit,P31,225546694
Nikki,ShonagonBot,edit,P31,258334600
ShonagonBot,63.141.204.129,edit,P31,282085253
63.141.204.129,Arpyia,edit,P31,282085446
Arpyia,Arctic.gnome,edit,P31,380826812
Arctic.gnome,Triggerhippie4,edit,P31,403417165
Triggerhippie4,Ogoorcs,edit,P31,436184801
Ogoorcs,Arbnos,edit,P31,436345996
Arbnos,Ogoorcs,edit,P31,443151003
Ogoorcs,ערן,edit,P31,443239573
ערן,178.255.104.153,edit,P31,483403982
178.255.104.153,Sjoerddebruin,edit,P31,483408920
Sjoerddebruin,PokestarFan,edit,P31,487567980
PokestarFan,213.119.48.69,edit,P31,678909498
213.119.48.69,Sjoerddebruin,edit,P31,678911074
Sjoerddebruin,Infovarius,edit,P31,697084836
Infovarius,Jklamo,edit,P31,714888777
Jklamo,Infovarius,edit,P31,716787448
Infovarius,Zzme123,edit,P31,742508596
Zzme123,KrBot,edit,P31,781400633
KrBot,Infovarius,edit,P31,787533812
Infovarius,Trivialist,edit,P31,812425091
Trivialist,Infovarius,edit,P31,813155884
Infovarius,Trade,edit,P31,820029602
Trade,Infovarius,edit,P31,960280929
Infovarius,Kenirwin,edit,P31,977760061
Kenirwin,DD063520,edit,P31,1062765504
DD063520,MisterSynergy,edit,P31,1062859915
MisterSynergy,Baji,edit,P31,1081596186
Baji,Infovarius,edit,P31,1082240501
Infovarius,Maxeto0910,edit,P31,1208652107
Maxeto0910,Valentina.Anitnelav,edit,P31,1209541379
Valentina.Anitnelav,Zenfiric,edit,P31,1224249822
Zenfiric,Infovarius,edit,P31,1226371866
Infovarius,Zenfiric,edit,P31,1226448687
Zenfiric,Infovarius,edit,P31,1228094297
Infovarius,NMaia,edit,P31,1329155421
NMaia,TiagoLubiana,edit,P31,1586777206
TiagoLubiana,Johnson524,edit,P31,1756896376
Johnson524,Roshkara,edit,P31,1756901169
Roshkara,Bigbossfarin,edit,P31,1889045799
Bigbossfarin,Emu,edit,P31,1890762614
Emu,ايمو کي ڀڄايو,edit,P31,2142020283
ايمو کي ڀڄايو,ツィプカ・ウエルド,edit,P31,2206853564
ツィプカ・ウエルド,DifoolBot,edit,P31,2258149702
Steenthbot,187.214.65.233,edit,P910,225545923
187.214.65.233,Nikki,edit,P910,225545961
GerardM,63.141.204.129,edit,P102,282085349
63.141.204.129,Arpyia,edit,P102,282085446
Arpyia,Conny,edit,P102,407997446
Conny,Wylve,edit,P102,421960001
Wylve,Galaktos,edit,P102,436792127
Galaktos,Tortoise0308,edit,P102,517819629
Tortoise0308,Grafst,edit,P102,1065380132
Grafst,Nikki080,edit,P102,1069322514
Nikki080,Matlin,edit,P102,1349367523
Matlin,Simba16,edit,P102,1719597504
Simba16,Johshh,edit,P102,2044803882
Johshh,AniaGrzybowska,edit,P102,2253504536
Vlsergey,Chetankale1978,edit,P856,271074068
Chetankale1978,63.141.204.129,edit,P856,282085392
63.141.204.129,Arpyia,edit,P856,282085446
Arpyia,Triggerhippie4,edit,P856,314269169
Triggerhippie4,Раммон,edit,P856,410578115
Раммон,Arbnos,edit,P856,425996311
Arbnos,Triggerhippie4,edit,P856,434386692
Triggerhippie4,Strakhov,edit,P856,435750264
Strakhov,Jura1,edit,P856,435770546
Jura1,Triggerhippie4,edit,P856,435777064
Triggerhippie4,Jura1,edit,P856,435778433
Jura1,Triggerhippie4,edit,P856,435779834
Triggerhippie4,Jura1,edit,P856,435780650
Jura1,Triggerhippie4,edit,P856,435782012
Triggerhippie4,Strakhov,edit,P856,435782416
Strakhov,Triggerhippie4,edit,P856,435782650
Triggerhippie4,Zenfiric,edit,P856,657976105
Zenfiric,Photoshoper97,edit,P856,1393161835
Photoshoper97,RocksGavin,edit,P856,1746202989
RocksGavin,Eurohunter,edit,P856,2092341338
Eurohunter,Սահակ,edit,P856,2272826518
Jura1,189.133.212.97,edit,P735,224141424
189.133.212.97,Rippitippi,edit,P735,224141818
Rippitippi,187.214.65.233,edit,P735,225545982
187.214.65.233,Nikki,edit,P735,225546081
Nikki,63.141.204.129,edit,P735,282085486
63.141.204.129,HakanIST,edit,P735,282089911
HakanIST,Hunty1935,edit,P735,291047369
Hunty1935,FallingGravity,edit,P735,291063044
FallingGravity,Triggerhippie4,edit,P735,314269488
Triggerhippie4,Entbert,edit,P735,433559508
