Source,Target,interaction_type,group
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
I'mfeistyincognito,I'mfeistyincognito,ADDED,taylor_swift
I'mfeistyincognito,I'mfeistyincognito,ADDED,taylor_swift
Hanif Al Husaini,Hanif Al Husaini,ADDED,taylor_swift
Pamputt,Pamputt,ADDED,taylor_swift
Frlgin,Frlgin,ADDED,taylor_swift
BorkedBot,BorkedBot,ADDED,taylor_swift
Gyrostat,Gyrostat,ADDED,taylor_swift
Yupik,Yupik,ADDED,taylor_swift
Yupik,Yupik,ADDED,taylor_swift
Alneth,Alneth,ADDED,taylor_swift
Pacostein,Pacostein,ADDED,taylor_swift
LimaMarioBot,LimaMarioBot,ADDED,taylor_swift
SINGmeAsadSONG,SINGmeAsadSONG,ADDED,taylor_swift
Hamedkazemi2,Hamedkazemi2,ADDED,taylor_swift
Hamedkazemi2,Hamedkazemi2,ADDED,taylor_swift
Soweego bot,Soweego bot,ADDED,taylor_swift
Soweego bot,Soweego bot,ADDED,taylor_swift
Bargioni,Bargioni,ADDED,taylor_swift
La loi et la justice,La loi et la justice,ADDED,taylor_swift
Meisam,Meisam,ADDED,taylor_swift
Valentina.Anitnelav,Valentina.Anitnelav,ADDED,taylor_swift
Kethyga,Kethyga,ADDED,taylor_swift
Kethyga,Kethyga,ADDED,taylor_swift
Kirilloparma,Kirilloparma,ADDED,taylor_swift
Gerwoman,Gerwoman,ADDED,taylor_swift
Bigbossfarin,Bigbossfarin,ADDED,taylor_swift
Sparkleeldar,Sparkleeldar,ADDED,taylor_swift
Adrianmartinezuwu,Adrianmartinezuwu,ADDED,taylor_swift
Escudero,Escudero,ADDED,taylor_swift
Quesotiotyo,Quesotiotyo,ADDED,taylor_swift
Quesotiotyo,Quesotiotyo,ADDED,taylor_swift
Quesotiotyo,Quesotiotyo,ADDED,taylor_swift
Horcrux,Horcrux,ADDED,taylor_swift
Frettiebot,Frettiebot,ADDED,taylor_swift
Laftp0,Laftp0,ADDED,taylor_swift
