Source,Target,interaction_type
Frettiebot,Frettiebot,ADDED
Laftp0,Laftp0,ADDED
MidleadingBot,MidleadingBot,ADDED
M2k~dewiki,M2k~dewiki,ADDED
Spinster300,Spinster300,ADDED
Xdtp,Xdtp,ADDED
Amadalvarez,Amadalvarez,ADDED
Keepwishes,Keepwishes,ADDED
Lolza81,Lolza81,ADDED
Lolza81,Lolza81,ADDED
Dux Oppositionis,Dux Oppositionis,ADDED
Hamuli,Hamuli,ADDED
Lovelano,Lovelano,ADDED
Lovelano,Lovelano,ADDED
INS Pirat,INS Pirat,ADDED
INS Pirat,INS Pirat,ADDED
Miikul,Miikul,ADDED
Gumruch,Gumruch,ADDED
Gumruch,Gumruch,ADDED
Gumruch,Gumruch,ADDED
Gumruch,Gumruch,ADDED
Joao4669,Joao4669,ADDED
Shei98,Shei98,ADDED
Jorgedelatc,Jorgedelatc,ADDED
Epìdosis,Epìdosis,ADDED
DinaHerbert,DinaHerbert,ADDED
Yuriklim,Yuriklim,ADDED
Ameisenigel,Ameisenigel,ADDED
KababyZMinsem,KababyZMinsem,ADDED
Morrelln,Morrelln,ADDED
Lewis Hulbert,Lewis Hulbert,ADDED
McMurphy2246,McMurphy2246,ADDED
McMurphy2246,McMurphy2246,ADDED
Pyb en résidence,Pyb en résidence,ADDED
DeltaBot,DeltaBot,ADDED
Ayack,Ayack,ADDED
Nvrandow,Nvrandow,ADDED
Finnius00,Finnius00,ADDED
Karthikndr,Karthikndr,DELETED
Lolnowbu,Dexbot,DELETED
Lolnowbu,Dexbot,DELETED
Lolnowbu,SamoaBot,DELETED
Lolnowbu,SamoaBot,DELETED
Lolnowbu,VIAFbot,DELETED
Lolnowbu,Jasper Deng,DELETED
Dexbot,Lolnowbu,DELETED
101.100.11.34,PLbot,DELETED
191.82.52.94,Rschen7754,DELETED
84.126.41.83,SweetBot,DELETED
84.126.41.83,KasparBot,DELETED
84.126.41.83,84.126.41.83,DELETED
Andreasmperu,2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,DELETED
Allen4names,Andreasmperu,DELETED
Chetankale1978,RobotMichiel1972,DELETED
187.200.178.56,AmaryllisGardener,DELETED
Stryn,Thierry Caro,DELETED
PLbot,ValterVBot,DELETED
KrBot,KrBot,DELETED
KrBot,Prcondo,DELETED
176.19.235.3,37.106.132.107,DELETED
