rev_id,timestamp,user,comment
1122663192,2020-02-24T08:54:07Z,Mohanad,"/* wbsetclaim-update:2||1|1 */ [[Property:P1603]]: 75,204"
1122662906,2020-02-24T08:53:43Z,Mohanad,"/* wbsetclaim-update:2||1|1 */ [[Property:P1603]]: 73,332"
1122423031,2020-02-24T03:08:57Z,Zhenqinli,"/* wbsetclaim-update:2||1 */ [[Property:P1120]]: 2,595"
1122351709,2020-02-24T01:32:04Z,Mohanad,"/* wbsetclaim-update:2||1|1 */ [[Property:P1603]]: 71,429"
1122341567,2020-02-24T01:18:06Z,Mohanad,"/* wbsetclaim-update:2||1|1 */ [[Property:P1603]]: 75,748"
1122339904,2020-02-24T01:15:49Z,Mohanad,"/* wbsetclaim-create:2||1 */ [[Property:P1603]]: 75,748"
1122336878,2020-02-24T01:11:38Z,Mohanad,"/* wbsetclaim-create:2||1 */ [[Property:P1603]]: 75,204"
1122335227,2020-02-24T01:09:20Z,Mohanad,"/* wbsetclaim-create:2||1 */ [[Property:P1603]]: 73,332"
1122333007,2020-02-24T01:06:17Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 51,857"
1122330116,2020-02-24T01:02:11Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 71,429"
1122329789,2020-02-24T01:01:44Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 69,267"
1122329696,2020-02-24T01:01:36Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 51,857"
1122329630,2020-02-24T01:01:29Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 67,102"
1122329569,2020-02-24T01:01:23Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 50,580"
1122329499,2020-02-24T01:01:18Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 64,437"
1122313541,2020-02-24T00:39:07Z,Mohanad,/* undo:0||1122308683|Mohanad Kh */
1122311222,2020-02-24T00:35:56Z,Mohanad,/* restore:0||1122308683|Mohanad Kh */
1122309050,2020-02-24T00:33:13Z,Mohanad,"/* wbremoveclaims-remove:1| */ [[Property:P1603]]: 67,102"
1122308683,2020-02-24T00:32:46Z,Mohanad,"/* wbremoveclaims-remove:1| */ [[Property:P1603]]: 64,437"
1122260961,2020-02-23T23:19:09Z,De Wikischim,/* clientsitelink-update:0|nlwikinews|nlwikinews:Categorie:Uitbraak Wuhan-virus|nlwikinews:Categorie:2019-nCoV */
1122153348,2020-02-23T20:25:16Z,AssassinsCreed,/* wbsetsitelink-add:1|itwikiquote */ Epidemia di SARS-CoV-2 del 2019-2020
1122153011,2020-02-23T20:24:40Z,AssassinsCreed,/* wbsetlabel-set:1|it */ epidemia di polmonite da 2019-nCoV del 2019-2020
1121956117,2020-02-23T15:20:15Z,Zhenqinli,"/* wbsetclaim-update:2||1 */ [[Property:P1120]]: 2,445"
1121947508,2020-02-23T15:08:05Z,JohnShaoWJ,/* wbsetclaim-update:2||1|1 */ [[Property:P17]]: [[Q14773]]
1121947164,2020-02-23T15:07:36Z,JohnShaoWJ,/* wbsetclaim-create:2||1 */ [[Property:P17]]: [[Q14773]]
1121814986,2020-02-23T11:48:24Z,Mattafalluga,/* wbsetsitelink-add:1|scwiki */ Epidemia de Pneumònia peri Coronavirus de 2019-2020
1121703910,2020-02-23T08:43:54Z,Turaids,/* wbsetaliases-add:1|lv */ 2019. gada koronavīrusa slimības epidēmija
1121703708,2020-02-23T08:43:39Z,Turaids,/* wbsetaliases-add:1|lv */ Uhaņas koronavīrusa epidēmija
1121703692,2020-02-23T08:43:37Z,Turaids,/* wbsetlabel-set:1|lv */ COVID-19 epidēmija
1121655034,2020-02-23T07:26:21Z,Slentee,/* clientsitelink-update:0|thwiki|thwiki:การระบาดของโคโรนาไวรัสสายพันธุ์ใหม่ พ.ศ. 2562–2563|thwiki:การระบาดของโคโรนาไวรัส พ.ศ. 2562–2563 */
1121593430,2020-02-23T05:48:36Z,Taichi,/* clientsitelink-update:0|eswiki|eswiki:Epidemia de neumonía por coronavirus de Wuhan de 2019-2020|eswiki:Epidemia de neumonía por coronavirus de 2019-2020 */
1121568748,2020-02-23T05:10:15Z,Zhenqinli,/* wbsetclaim-create:2||1 */ [[Property:P31]]: [[Q3002774]]
1121371594,2020-02-22T23:46:08Z,Zhenqinli,"/* wbsetclaim-update:2||1 */ [[Property:P1120]]: 2,444"
1121283656,2020-02-22T21:51:37Z,83.54.26.61,"/* wbsetclaim-create:2||1 */ [[Property:P1603]]: 77,968"
1121274535,2020-02-22T21:42:15Z,KOLI,"/* wbsetaliases-add:2|fa */ شیوع کوروناویروس ووهان, شیوع ۲۰۱۹-۲۰۲۰ کروناویروس"
1121274509,2020-02-22T21:42:13Z,KOLI,/* wbsetlabel-set:1|fa */ شیوع ۲۰–۲۰۱۹ کروناویروس
1121272141,2020-02-22T21:39:44Z,KOLI,/* clientsitelink-update:0|fawiki|fawiki:شیوع ۲۰۱۹-۲۰۲۰ کروناویروس|fawiki:شیوع ۲۰–۲۰۱۹ کروناویروس */
1121108108,2020-02-22T17:44:16Z,Sunfyre,/* clientsitelink-update:0|fawiki|fawiki:شیوع ۲۰۱۹-۲۰۲۰ کوروناویروس|fawiki:شیوع ۲۰۱۹-۲۰۲۰ کروناویروس */
1121073234,2020-02-22T16:56:31Z,4nn1l2,/* clientsitelink-update:0|fawiki|fawiki:شیوع ۲۰۱۹-۲۰۲۰ کروناویروس|fawiki:شیوع ۲۰۱۹-۲۰۲۰ کوروناویروس */
1121043325,2020-02-22T16:17:53Z,Pirags,/* clientsitelink-update:0|lvwiki|lvwiki:COVID-2019 epidēmija|lvwiki:COVID-19 epidēmija */
1121040279,2020-02-22T16:13:42Z,Pirags,/* clientsitelink-update:0|lvwiki|lvwiki:Uhaņas koronavīrusa epidēmija|lvwiki:COVID-2019 epidēmija */
1120925453,2020-02-22T13:18:14Z,Robins7,/* wbeditentity-update-languages-short:0||cs */
1120850479,2020-02-22T11:25:00Z,𐰇𐱅𐰚𐰤,/* clientsitelink-update:0|trwiki|trwiki:2019–20 koronavirüs salgını|trwiki:2019-2020 koronavirüs salgını */
1120835924,2020-02-22T11:03:56Z,Ptushar,/* wbsetaliases-add:1|en */ COVID-19
1120718303,2020-02-22T07:44:41Z,Chidgk1,/* clientsitelink-update:0|trwiki|trwiki:Vuhan koronavirüs salgını|trwiki:2019–20 koronavirüs salgını */
1120697123,2020-02-22T07:14:00Z,RG72,/* clientsitelink-update:0|eowikinews|eowikinews:Kategorio:Epidemio de 2019-nCoV|eowikinews:Kategorio:Epidemio de COVID-19 */
1120483137,2020-02-22T01:40:11Z,Neo-Jay,"/* undo:0||1118936799|Adert */ reverted 04:52, 20 February 2020 edit. removed [[Q833]] as [[Property:P17]], which was already added at 16:06, 28 January 2020"
1120480628,2020-02-22T01:36:30Z,Neo-Jay,/* wbsetclaim-update:2||1|1 */ [[Property:P17]]: [[Q794]]
1120463937,2020-02-22T01:12:30Z,Zhenqinli,"/* wbsetclaim-update:2||1 */ [[Property:P1120]]: 2,348"
1120420275,2020-02-22T00:03:01Z,Zhenqinli,"/* wbsetclaim-update:2||1 */ [[Property:P1120]]: 2,240"
1120047411,2020-02-21T13:44:36Z,Sunfyre,/* clientsitelink-update:0|fawiki|fawiki:شیوع کروناویروس در ۲۰۱۹-۲۰۲۰|fawiki:شیوع ۲۰۱۹-۲۰۲۰ کروناویروس */
1120046788,2020-02-21T13:40:56Z,Adert,/* wbsetclaim-create:2||1 */ [[Property:P17]]: [[Q801]]
1120046769,2020-02-21T13:40:47Z,Adert,/* wbsetclaim-create:2||1 */ [[Property:P17]]: [[Q822]]
1120033401,2020-02-21T13:12:58Z,Amangeldi Mukhamejan,/* clientsitelink-update:0|kkwiki|kkwiki:2019-20 жылғы Уханьдағы жаңа коронавирус індеті|kkwiki:COVID-19 індеті */
1120024111,2020-02-21T12:58:28Z,Pro translator,/* clientsitelink-update:0|fawiki|fawiki:شیوع کروناویروس ووهان|fawiki:شیوع کروناویروس در ۲۰۱۹-۲۰۲۰ */
1120011710,2020-02-21T12:36:49Z,ZZARZY223,/* undo:0||1120010465|ZZARZY223 */
1120010465,2020-02-21T12:34:46Z,ZZARZY223,/* wbremoveclaims-remove:1| */ [[Property:P1542]]: [[Q83554783]]
1119916637,2020-02-21T09:56:04Z,RG72,/* clientsitelink-update:0|eowiki|eowiki:Epidemio de 2019-nCoV|eowiki:Epidemio de COVID-19 */
