Source,Target,Type,Label,Predicate,start,end
KrBot,Sun8908,Directed,edit,P1120,2020/01/01,2022/01/01
Sun8908,47.232.133.199,Directed,edit,P1120,2020/01/01,2022/01/01
47.232.133.199,-sasha-,Directed,edit,P1120,2020/01/01,2022/01/01
-sasha-,Davidpar,Directed,edit,P1120,2020/01/01,2022/01/01
Davidpar,Sun8908,Directed,edit,P1120,2020/01/01,2022/01/01
Sun8908,Llywelyn2000,Directed,edit,P1120,2020/01/01,2022/01/01
Llywelyn2000,DeltaBot,Directed,edit,P1120,2020/01/01,2022/01/01
DeltaBot,Dhx1,Directed,edit,P1120,2020/01/01,2022/01/01
Dhx1,4ing,Directed,edit,P1120,2020/01/01,2022/01/01
4ing,Dhx1,Directed,edit,P1120,2020/01/01,2022/01/01
Dhx1,Julián L. Páez,Directed,edit,P1120,2020/01/01,2022/01/01
Julián L. Páez,Bassel Elgohary,Directed,edit,P1120,2020/01/01,2022/01/01
Bassel Elgohary,Dhx1,Directed,edit,P1120,2020/01/01,2022/01/01
Dhx1,Bassel Elgohary,Directed,edit,P1120,2020/01/01,2022/01/01
Bassel Elgohary,Les Meloures,Directed,edit,P1120,2020/01/01,2022/01/01
Les Meloures,Shiro D. Neko,Directed,edit,P1120,2020/01/01,2022/01/01
Shiro D. Neko,Asav,Directed,edit,P1120,2020/01/01,2022/01/01
Asav,99of9,Directed,edit,P1120,2022/01/01,2024/01/01
99of9,Tholme,Directed,edit,P1120,2022/01/01,2024/01/01
Tholme,GZWDer,Directed,delete,P1120,2024/01/01,2025/06/29
Zhenqinli,Frettie,Directed,edit,P828,2020/01/01,2022/01/01
Frettie,Eltetelar12,Directed,edit,P828,2020/01/01,2022/01/01
Eltetelar12,Sun8908,Directed,edit,P828,2020/01/01,2022/01/01
舞月書生,HapHaxion,Directed,delete,P131,2020/01/01,2022/01/01
Bouzinac,Arbnos,Directed,create,P276,2020/01/01,2022/01/01
Arbnos,HapHaxion,Directed,delete,P276,2020/01/01,2022/01/01
